question,answer
What is a Database?,A structured collection of data stored and accessed electronically.
What is a Database Management System (DBMS)?,"Software that interacts with end-users, applications, and the database to capture and analyse data."
What are the main functions of a DBMS?,"Data storage, retrieval, update, and administration of databases."
What is a Relational Database?,A database structured to recognize relations among stored items of information.
Who proposed the relational model?,Edgar F. Codd in 1970.
What is SQL?,"Structured Query Language, used for managing and manipulating relational databases."
What is a Table in a database?,A collection of related data entries consisting of rows and columns.
Define a Primary Key.,A unique identifier for a record in a table.
What is a Foreign Key?,An attribute that creates a relationship between two tables.
What is a Candidate Key?,"An attribute, or a set of attributes, that can uniquely identify a tuple."
What is a Composite Key?,A key composed of two or more attributes that uniquely identify a record.
Define Normalization.,The process of organizing data to reduce redundancy and improve integrity.
What is Denormalization?,The process of combining normalized tables to improve read performance. 1
Explain ACID properties.,"Atomicity, Consistency, Isolation, Durability—ensure reliable transactions."
What is a Transaction?,A unit of work performed within a database management system.
What is a Schema?,The structure that defines the organization of data in a database.
What is an Instance?,The actual content of the database at a particular point in time.
Define Data Independence.,The capacity to change the schema at one level without altering the schema at the next higher level.
What is a Data Model?,An abstract model that organizes data elements and standardizes their relationships.
Name different types of Data Models.,"Hierarchical, Network, Relational, Object-oriented."
What is the Hierarchical Data Model?,Data is organized into a tree-like structure.
What is the Network Data Model?,"Data is organized in a graph, allowing multiple parent-child relationships."
What is the Relational Data Model?,Data is organized into tables (relations) of rows and columns.
What is an Object-oriented Data Model?,"Data is represented in the form of objects, as in object-oriented programming."
What is an Entity?,An object that exists and is distinguishable from other objects.
What is an Attribute?,A property or characteristic of an entity. 2
Define a Relationship in DBMS.,An association among two or more entities.
What is an Entity-Relationship (ER) Diagram?,A visual representation of entities and their relationships.
What is Cardinality in ER diagrams?,The number of instances of one entity that can be associated with instances of another entity.
What is a Weak Entity?,An entity that cannot be uniquely identified by its attributes alone.
What is a Strong Entity?,An entity that can be uniquely identified by its attributes.
Define Referential Integrity.,Ensures that foreign key values in a table correspond to primary key values in another table.
What is a View in DBMS?,A virtual table based on the result set of an SQL statement.
What is an Index?,A database object that improves the speed of data retrieval.
What is a Clustered Index?,An index that determines the physical order of data in a table.
What is a Non-Clustered Index?,An index that does not alter the physical order of data in a table.
Define a Stored Procedure.,A set of SQL statements that can be stored and executed on the database server.
What is a Trigger?,A procedure that automatically executes in response to certain events on a table.
What is a Cursor?,"A database object used to retrieve, manipulate, and navigate through a result set row by row. 3"
What is Data Warehousing?,The process of collecting and managing data from various sources for analysis and reporting.
What is OLTP?,Online Transaction Processing—manages transaction-oriented applications.
What is OLAP?,Online Analytical Processing—supports complex analysis and queries on large volumes of data.
What is a Data Dictionary?,"A centralized repository of information about data, such as meaning, relationships, and origin."
What is Data Mining?,The process of discovering patterns and knowledge from large amounts of data.
What is a Database Management System (DBMS)?,"A software system that enables users to define, create, maintain, and control access to databases."
What are the primary functions of a DBMS?,"Data storage, retrieval, update, and administration of databases."
What is a Relational Database Management System (RDBMS)?,A type of DBMS that stores data in tables (relations) and allows for relationships between tables using keys.
How does a DBMS differ from an RDBMS?,DBMS manages data as files without enforcing relationships; RDBMS uses tables with enforced relationships through foreign keys.
Can you provide examples of DBMS and RDBMS?,"DBMS: File systems, XML; RDBMS: MySQL, Oracle, SQL Server."
What are the advantages of using an RDBMS over a traditional DBMS?,"Data integrity, reduced redundancy, support for complex queries, and enforcement of relationships. 4"
"What is data redundancy, and how do DBMS and RDBMS handle it?",Data redundancy is the unnecessary repetition of data. RDBMS minimizes redundancy through normalization; DBMS may not effectively address redundancy.
Explain data integrity in the context of DBMS.,Ensuring accuracy and consistency of data over its lifecycle.
How do RDBMS enforce data integrity?,"Through constraints like primary keys, foreign keys, and unique constraints."
What is a Primary Key?,A unique identifier for records in a table; no two rows can have the same primary key value.
What is a Foreign Key?,"A field in one table that uniquely identifies a row in another table, establishing a relationship between the two tables."
Define a Candidate Key.,"An attribute, or set of attributes, that can uniquely identify a tuple in a table; a table can have multiple candidate keys."
What is a Composite Key?,A primary key composed of two or more columns to uniquely identify a record.
What is a database schema?,The logical structure that defines the organization of data in a database.
Explain the concept of indexing.,A data structure that improves the speed of data retrieval operations on a database table.
What is a clustered index?,An index that determines the physical order of data in a table; there can be only one clustered index per table.
Define a non-clustered index.,An index that does not alter the physical order of the table and uses a separate structure to store pointers to data. 5
What is a view in DBMS?,A virtual table based on the result set of an SQL statement.
How does a view differ from a table?,A view is a virtual table that does not store data physically; a table stores actual data in the database.
What is an Entity-Relationship (ER) Model?,"A conceptual framework used to describe the structure of a database, detailing entities, attributes, and relationships."
What is an Entity in the ER Model?,"An entity is an object or concept that can have data stored about it in a database, such as a person, place, or event."
What are attributes in an ER Model?,"Attributes define the properties of an entity, such as a student's name, roll number, or course."
What is a primary key in the ER Model?,"A primary key is a unique identifier for each record in a table, ensuring that no two records have the same value."
What is a foreign key in the ER Model?,"A foreign key is an attribute in one table that establishes a link to the primary key of another table, ensuring referential integrity."
What is a relationship in the ER Model?,"A relationship represents the association between two or more entities, such as a ""Student"" enrolling in a ""Course."""
Define cardinality in the context of the ER Model.,"Cardinality specifies the number of instances of one entity that can be associated with instances of another entity (e.g., one-to-one, one-to- many)."
What is a weak entity?,A weak entity is an entity that cannot exist without a related strong entity and does not have sufficient attributes to be uniquely identified on its own.
What is a composite attribute?,"A composite attribute is an attribute that can be divided into smaller sub-parts, such as a full name being divided into first name and last name. 6"
What is a derived attribute?,"A derived attribute is an attribute whose value is calculated from other attributes, such as ""Age"" being derived from ""Date of Birth."""
What is an aggregation in an ER Model?,"Aggregation is an abstraction that treats relationships as higher- level entities, used when relationships themselves need to participate in another relationship."
What is generalization in an ER Model?,Generalization is the process of extracting common attributes from multiple entity types and creating a higher-level entity.
What is specialization in an ER Model?,Specialization is the process of creating sub-entities from a higher- level entity based on distinguishing characteristics.
What is an extended ER Model (EER)?,"An extended ER Model (EER) includes additional concepts like generalization, specialization, and aggregation to better represent real-world scenarios."
What is SQL?,SQL (Structured Query Language) is a language used to manage and manipulate relational databases.
What are the different types of SQL commands?,"SQL commands are classified into DDL (Data Definition Language), DML (Data Manipulation Language), DCL (Data Control Language), and TCL (Transaction Control Language)."
What is DDL in SQL?,"Data Definition Language (DDL) includes commands like CREATE, ALTER, and DROP, which define and modify database structures."
What is DML in SQL?,"Data Manipulation Language (DML) includes commands like SELECT, INSERT, UPDATE, and DELETE, which manipulate data in tables."
What is DCL in SQL?,"Data Control Language (DCL) includes commands like GRANT and REVOKE, which control access to database objects."
