question,answer
What is time complexity?,Time complexity is a computational complexity that describes the amount of time it takes to run an algorithm as a function of the size of the input. It is usually expressed using Big O notation.
What is space complexity?,Space complexity is the amount of memory space an algorithm uses in relation to the size of the input. It is also typically expressed using Big O notation.
What is the difference between time complexity and space complexity?,"Time complexity measures the amount of time an algorithm takes to run, while space complexity measures the amount of memory it consumes. Both are important for evaluating the efficiency of algorithms."
What is Big O notation?,"Big O notation is a mathematical notation used to describe the upper bound of an algorithm’s runtime or space usage in terms of the size of the input. It provides an asymptotic upper limit, describing the worst-case scenario. If f(n) describes the running time of an algorithm, f(n) is O(g(n)) if there exist a positive constant C and n such that, 0 ≤ f(n) ≤ cg(n) for all n ≥ n 0 0"
What is Omega (Ω) notation?,"Omega (Ω) notation is used to describe the best-case or lower bound of an algorithm's performance. It provides an asymptotic lower limit, representing the minimum time or space required for an algorithm. Let g and f be the function from the set of natural numbers to itself. The function f is said to be Ω(g), if there is a constant c > 0 and a natural number n such that c*g(n) ≤ 0 f(n) for all n ≥ n 0"
What is Theta (Θ) notation?,"Theta (Θ) notation provides a tight bound on the time or space complexity of an algorithm. It describes the runtime or space requirement in both the best and worst cases, giving a more precise estimate. Let g and f be the function from the set of natural numbers to itself. The function f is said to be Θ(g), if there are constants c , c > 0 and a natural number n such that c * g(n) 1 2 0 1 ≤ f(n) ≤ c * g(n) for all n ≥ n . 2 0"
What is the time complexity of linear search?,"The time complexity of linear search is O(n), where n is the number of elements in the array. This is because the algorithm needs to check each element until it finds the target or reaches the end. 1"
What is the time complexity of binary search?,"The time complexity of binary search is O(log n), where n is the number of elements. It works by dividing the search space in half with each iteration, making it more efficient than linear search."
What is the space complexity of linear search?,"The space complexity of linear search is O(1), since it only requires a constant amount of extra space for variables like the target element."
What is the space complexity of binary search?,"The space complexity of binary search is O(1), as it operates on the array directly and does not require extra space besides variables for low, high, and mid indices."
What is the difference between linear search and binary search?,"Linear search scans each element of an array one by one to find the target, while binary search works by repeatedly dividing the search space in half. Binary search is more efficient but requires the array to be sorted."
Explain the concept of bubble sort.,"Bubble sort is a simple sorting algorithm that repeatedly steps through the list, compares adjacent elements, and swaps them if they are in the wrong order. The process is repeated until the array is sorted."
What is the time complexity of bubble sort in the worst case?,The worst-case time complexity of bubble sort is O(n²) because the algorithm may need to compare and swap each pair of elements in the array multiple times.
What is the best-case time complexity of bubble sort?,"The best-case time complexity of bubble sort is O(n), which occurs when the array is already sorted. In this case, the algorithm only needs one pass through the array to confirm no swaps are needed."
How can you optimize bubble sort?,"Bubble sort can be optimized by adding a flag to detect if any swaps were made during a pass. If no swaps are made, the algorithm can terminate early, improving efficiency for nearly sorted arrays."
What is the time complexity of selection sort?,The time complexity of selection sort is O(n²) because it requires two 2 nested loops: one to find the minimum element and another to perform the swaps.
What is the space complexity of selection sort?,The space complexity of selection sort is O(1) because it sorts the array in place and uses only a constant amount of extra space.
What is the concept of insertion sort?,Insertion sort is a simple sorting algorithm that builds the sorted array one element at a time by repeatedly picking the next element and inserting it into its correct position in the sorted portion of the array.
What is the time complexity of insertion sort in the worst case?,"The worst-case time complexity of insertion sort is O(n²) when the array is sorted in reverse order, requiring the algorithm to shift elements for each insertion."
What is the best-case time complexity of insertion sort?,"The best-case time complexity of insertion sort is O(n) when the array is already sorted, as the algorithm only needs to traverse the array once."
What is merge sort?,"Merge sort is a divide-and-conquer sorting algorithm that divides the array into two halves, recursively sorts each half, and then merges the sorted halves to produce the final sorted array."
What is the time complexity of merge sort?,The time complexity of merge sort is O(n log n) in both the best and worst cases because the array is recursively divided into halves and then merged.
What is the space complexity of merge sort?,The space complexity of merge sort is O(n) because it requires additional space for storing the temporary arrays during the merge step.
What is quicksort?,"QuickSort is a divide-and-conquer algorithm that selects a pivot element, partitions the array into elements smaller than the pivot and elements greater than the pivot, and recursively sorts the subarrays."
What is the time complexity of quicksort in the best case?,"The best-case time complexity of QuickSort is O(n log n), which occurs when the pivot divides the array into two roughly equal subarrays. 3"
What is the time complexity of quicksort in the worst case?,"The worst-case time complexity of QuickSort is O(n²), which occurs when the pivot always divides the array into highly unbalanced subarrays (e.g., when the array is already sorted or nearly sorted)."
What is heap sort?,"Heap sort is a comparison-based sorting algorithm that builds a max- heap (or min-heap), then repeatedly extracts the root element (the largest or smallest) and reconstructs the heap until the array is sorted."
What is the time complexity of heap sort?,"The time complexity of heap sort is O(n log n) in both the worst and best cases because building the heap takes O(n), and each extraction operation takes O(log n)."
What is the space complexity of heap sort?,"The space complexity of heap sort is O(1) because it sorts the array in place, without requiring additional space."
What is radix sort?,"Radix Sort is a non-comparative sorting algorithm that sorts numbers digit by digit, starting from the least significant digit to the most significant digit, using a stable sorting algorithm like counting sort for each digit."
What is the time complexity of radix sort?,"The time complexity of radix sort is O(nk), where n is the number of elements in the array and k is the number of digits in the largest number."
What is the space complexity of radix sort?,"The space complexity of radix sort is O(n + k), where n is the number of elements in the array and k is the range of the digits."
What is counting sort?,Counting sort is a non-comparative sorting algorithm that counts the frequency of each element in the array and then places each element in its correct position based on the frequencies.
What is the time complexity of counting sort?,"The time complexity of counting sort is O(n + k), where n is the number of elements and k is the range of input values. 4"
What is bucket sort?,"Bucket sort is a non-comparative sorting algorithm that divides the array into several buckets, sorts each bucket individually using another sorting algorithm (like insertion sort), and then combines the sorted buckets."
What is the time complexity of bucket sort?,"The time complexity of bucket sort is O(n + k), where n is the number of elements and k is the number of buckets."
What is binary search tree (BST)?,"A Binary Search Tree is a binary tree in which each node has at most two children, and the left child has a smaller key while the right child has a larger key, allowing for efficient searching, insertion, and deletion."
What is the time complexity of searching in a binary search tree?,"The time complexity of searching in a binary search tree is O(log n) in the best case, assuming the tree is balanced. In the worst case (unbalanced), it can be O(n)."
What is AVL tree?,An AVL Tree is a self-balancing binary search tree where the height difference between the left and right subtrees of every node is at most one. Rotations are used to maintain balance during insertions and deletions.
What is the time complexity of insertion in an AVL tree?,"The time complexity of insertion in an AVL tree is O(log n) because the tree remains balanced after each insertion, ensuring logarithmic height."
What is the time complexity of deletion in an AVL tree?,"The time complexity of deletion in an AVL tree is O(log n) because the tree is balanced after each deletion, ensuring that the height remains logarithmic, and rebalancing operations (rotations) are performed in O(log n) time."
What is the concept of heap in computer science?,"A heap is a complete binary tree that satisfies the heap property. In a max-heap, the value of each node is greater than or equal to the values of its children, and in a min-heap, the value of each node is less than or equal to the values of its children."
What is the difference between a max-heap and a min-heap?,"In a max-heap, the root node contains the maximum value, and every parent node has a value greater than or equal to its children. In a min-heap, the 5 root node contains the minimum value, and every parent node has a value less than or equal to its children."
What is the time complexity of building a heap?,The time complexity of building a heap is O(n) because the process of building a heap involves reordering the elements starting from the lowest level to the root.
What is the time complexity of heap sort?,"The time complexity of heap sort is O(n log n), as it involves building a heap in O(n) time and then repeatedly extracting the maximum or minimum element (which takes O(log n) time)."
What is Dijkstra’s Algorithm?,Dijkstra’s Algorithm is a shortest-path algorithm used to find the shortest path from a source node to all other nodes in a weighted graph. It works by iteratively selecting the node with the smallest tentative distance and updating its neighbours.
What is the time complexity of Dijkstra's algorithm using a priority queue?,"The time complexity of Dijkstra's algorithm using a priority queue (min-heap) is O((V + E) log V), where V is the number of vertices and E is the number of edges. This is because for each vertex and edge, the algorithm performs priority queue operations that take O(log V) time."
What is Bellman-Ford Algorithm?,"Bellman-Ford Algorithm is a shortest-path algorithm that works for graphs with negative weights. It iteratively relaxes all edges, updating the shortest path estimates until the algorithm converges. It can also detect negative weight cycles."
