question,answer
What is a process?,"A process is an independent program in execution, having its own address space, system resources, and a set of instructions to execute."
What is a thread?,A thread is the smallest unit of execution within a process. Multiple threads within a process share the same resources.
Difference between process and thread?,"A process has its own memory space, whereas threads share memory within the same process. Threads are lighter in weight compared to processes."
What is the advantage of using threads over processes?,"Threads are more efficient than processes because they share memory, reducing overhead. Threads also allow for parallel execution, improving performance."
Use case of a process?,"Running multiple independent applications, like a text editor and a web browser, at the same time."
Use case of a thread?,"Multitasking within a single application, such as downloading files while displaying a progress bar in a browser."
What is FCFS scheduling algorithm?,"FCFS (First-Come, First-Served) executes processes in the order they arrive in the ready queue."
What is the disadvantage of FCFS scheduling?,"FCFS can cause the ""convoy effect,"" where short processes have to wait for long processes to finish, increasing average waiting time."
What is the SJF scheduling algorithm?,SJF (Shortest Job First) selects the process with the smallest burst time to execute first.
What is the disadvantage of SJF?,"SJF can cause starvation for longer processes, as shorter processes keep executing. 2"
What is the Round Robin (RR) scheduling algorithm?,RR assigns each process a fixed time slice (quantum) and cycles through the processes in the ready queue.
What is a key advantage of Round Robin scheduling?,It provides fairness by giving each process equal time for execution.
What is priority scheduling?,"Priority scheduling assigns a priority level to each process, with the highest priority process being executed first."
How does priority scheduling handle processes with the same priority?,It can use either FCFS or another scheduling algorithm to break ties among processes with the same priority.
What is a starvation problem in priority scheduling?,Starvation occurs when low-priority processes may never get executed because high-priority processes keep preempting them.
What is multilevel queue scheduling?,It divides the ready queue into multiple queues based on priority and assigns each process to one of the queues.
What is a Process Control Block (PCB)?,"A PCB is a data structure that stores information about a process, such as its state, program counter, registers, and memory allocation."
What are the main components of a PCB?,"Components include process state, program counter, CPU registers, memory management information, and I/O status."
Why is PCB important in process management?,"The PCB allows the OS to manage and schedule processes efficiently, enabling context switching and process tracking."
What happens when a process is created?,"The OS creates a PCB to store the process's state, resources, and other related data."
What happens when a process terminates?,The OS removes the PCB from the process table and frees any allocated resources. 3
What is context switching?,Context switching is the process of saving the state of a currently running process and loading the state of the next process.
What is the role of PCB in context switching?,"The PCB stores the process state (e.g., registers, program counter) so that the process can resume from where it left off during the next execution."
How is a context switch performed?,The OS saves the current process’s state into its PCB and loads the next process’s state from its PCB.
What is the overhead of context switching?,Context switching incurs CPU time overhead and resource usage for saving and restoring process states.
What is Inter-process Communication (IPC)?,IPC is a mechanism that allows processes to communicate with each other and synchronize their actions.
What are the different methods of IPC?,"Methods include message passing, shared memory, pipes, and signals."
What is message passing in IPC?,Message passing allows processes to send and receive messages to exchange data.
What is shared memory in IPC?,"Shared memory allows multiple processes to access the same memory region, enabling faster communication."
What are pipes in IPC?,Pipes are a unidirectional communication channel that allows data to flow between processes.
What are signals in IPC?,"Signals are used to notify processes of events or conditions, such as terminating a process or handling errors."
What is a named pipe in IPC?,A named pipe is a special type of pipe that allows communication between unrelated processes. 4
What is the difference between anonymous and named pipes?,"Anonymous pipes are used for communication between parent and child processes, while named pipes can be used by unrelated processes."
What is concurrency in operating systems?,"Concurrency is the execution of multiple processes or threads simultaneously or interleaved, sharing system resources."
What is mutual exclusion?,Mutual exclusion ensures that only one process or thread can access a shared resource at a time.
What is synchronization?,Synchronization ensures that concurrent processes or threads access shared resources in a controlled and consistent manner.
What is a semaphore?,"A semaphore is a synchronization primitive used to control access to shared resources, implemented as an integer."
What are the two types of semaphores?,Counting semaphores (for managing multiple instances of resources) and binary semaphores (for managing a single resource).
What is the use of a mutex?,"A mutex is used to lock a shared resource, ensuring mutual exclusion when one thread is accessing it."
What is a deadlock?,A deadlock is a situation where two or more processes are unable to proceed because they are waiting for each other to release resources.
What is the critical section problem?,"The critical section problem arises when multiple processes attempt to access shared resources simultaneously, leading to inconsistency."
What are monitors in synchronization?,Monitors are high-level synchronization primitives that combine data structures and procedures to ensure mutual exclusion.
What is a race condition?,"A race condition occurs when the outcome of a process depends on the order in which it executes, leading to unpredictable results. 5"
What is a binary semaphore?,"A binary semaphore is a semaphore that can only take two values: 0 and 1, used for mutual exclusion."
What is a process state diagram?,"A process state diagram represents the various states a process can be in (e.g., new, ready, running, waiting, terminated)."
What is the purpose of a scheduler?,A scheduler decides which process gets to use the CPU next based on a scheduling algorithm.
What is preemptive scheduling?,Preemptive scheduling allows the OS to interrupt a running process and assign CPU time to another process.
What is non-preemptive scheduling?,Non-preemptive scheduling allows a process to run until it voluntarily gives up the CPU or completes.
What is a process table?,"The process table is a data structure that stores information about all processes in the system, including their PCB."
What is process creation?,Process creation involves the OS allocating resources and initializing a new process with its own PCB.
What is process termination?,"Process termination occurs when a process completes its execution or is killed, and its resources are released."
What is an orphan process?,"An orphan process is a process whose parent process has terminated, leaving it to be adopted by the init process."
What is a zombie process?,"A zombie process is a terminated process that still has an entry in the process table, waiting for its exit status to be read."
What is contiguous memory allocation?,Contiguous memory allocation is a memory management scheme where each process is allocated a single contiguous block of memory. 6
What are the advantages of contiguous memory allocation?,It is simple to implement and provides fast access to the allocated memory.
What are the disadvantages of contiguous memory allocation?,"It suffers from external fragmentation, where free memory is divided into small blocks, making it difficult to allocate large contiguous spaces."
What is external fragmentation?,"External fragmentation occurs when free memory is scattered throughout the system in small blocks, making it difficult to allocate large contiguous blocks of memory."
How can external fragmentation be reduced in contiguous memory allocation?,"External fragmentation can be reduced by using techniques like memory compaction or by switching to a different memory management scheme, such as paging."
What is internal fragmentation?,"Internal fragmentation occurs when memory is allocated to a process but not fully utilized, leaving unused memory within the allocated block."
What is a memory block in contiguous allocation?,A memory block refers to the portion of memory assigned to a process in contiguous memory allocation.
What is the difference between internal and external fragmentation?,"Internal fragmentation is unused memory within a process's allocated space, while external fragmentation is free memory scattered across the system."
What is the best-fit allocation strategy?,"The best-fit strategy allocates the smallest available memory block that is sufficient to meet the process's requirement, minimizing waste."
What is the worst-fit allocation strategy?,"The worst-fit strategy allocates the largest available memory block to a process, aiming to leave the largest remaining free space."
What is paging?,"Paging is a memory management technique where the physical 7 memory is divided into fixed-size blocks called pages, and the process’s logical memory is divided into the same-sized blocks called frames."
What are the advantages of paging?,"Paging eliminates external fragmentation, simplifies memory allocation, and allows non-contiguous memory allocation."
What is a page table?,A page table is a data structure used by the operating system to map the logical page addresses to physical frame addresses in memory.
What is a frame?,A frame is a fixed-size block of physical memory into which pages of a process are mapped during paging.
What is segmentation?,"Segmentation is a memory management scheme where the process is divided into different segments based on logical divisions, such as code, data, and stack."
What are the advantages of segmentation?,Segmentation allows easier handling of dynamic data structures and provides flexibility by allocating memory based on logical divisions of a process.
What is the difference between paging and segmentation?,"Paging divides memory into fixed-size blocks, while segmentation divides memory into logical segments of varying sizes. Paging eliminates external fragmentation, while segmentation may cause it."
How does segmentation provide logical division of a process?,"Segmentation divides a process into segments based on logical divisions such as code, data, and stack, allowing better management and protection."
What are the disadvantages of segmentation?,Segmentation may lead to external fragmentation and can make memory management more complex due to varying segment sizes.
What is the segment table?,A segment table is a data structure used to map the segment’s logical address to physical memory. 8
What is virtual memory?,Virtual memory is a memory management technique that allows the execution of processes that may not be completely loaded into physical memory by using the hard disk as an extension of RAM.
How does virtual memory work?,Virtual memory uses a combination of hardware (MMU) and software (OS) to map logical addresses to physical memory addresses and allows processes to use more memory than physically available.
What is a page table in virtual memory?,A page table is a data structure used in virtual memory to map virtual page addresses to physical frame addresses.
What are page replacement algorithms?,"Page replacement algorithms decide which pages to swap in and out of physical memory when a page fault occurs. Common algorithms include FIFO, LRU, and OPT."
What is the FIFO page replacement algorithm?,FIFO (First-In-First-Out) is a page replacement algorithm that removes the oldest page from memory to make room for a new page.
What is the LRU page replacement algorithm?,LRU (Least Recently Used) is a page replacement algorithm that removes the page that has not been used for the longest time.
